id,name,Rating,Bedrooms,Bathroom,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,license Satuts,
1573401,Home in Chicago ,4.9, 1 bedroom , 1 shared bath,41.85592,-87.66249,Private room,72,2,345,8/22/2023,5,2,134,65,R21000069179,  Register,
1584422,Rental unit in Chicago ,4.9, 3 bedrooms , 2 baths,41.90532,-87.64761,Entire home/apt,426,3,45,8/20/2023,0,3,342,11,2555923,  Register,
1591370,Rental unit in Chicago ,4.8, 1 bedroom , 1 bath,42.01177,-87.67758,Entire home/apt,138,2,185,9/10/2023,2,1,348,24,R22000090320,  Register,
1614802,Rental unit in Chicago ,4.9, 1 bedroom , 1 private bath,41.93455,-87.66141,Private room,66,4,346,9/6/2023,3,1,282,35,R23000105186,  Register,
1620098,Rental unit in Chicago ,4.7, 1 bedroom , 1 private bath,41.92817,-87.64282,Private room,150,1,66,8/6/2023,1,1,87,16,R22000079040,  Register,
1663673,Rental unit in Chicago ,4.9, 1 bedroom , 1 bath,41.89322,-87.68572,Entire home/apt,165,2,385,8/27/2023,3,3,236,35,R22000090635,  Register,
1668481,Rental unit in Chicago ,4.8, 2 bedrooms , 1 bath,41.89678,-87.6971,Entire home/apt,86,32,116,5/20/2021,1,1,0,0,R18000026178,  Register,
1759266,Rental unit in Chicago ,4.8, 2 bedrooms , 1 bath,41.93396,-87.65897,Entire home/apt,229,2,74,8/14/2023,1,1,317,15,2209110,  Register,
1759389,Home in Chicago ,5.0, 1 bedroom , 1.5 shared baths,41.84801,-87.68127,Private room,105,2,146,9/10/2023,1,3,348,14,R20000054162,  Register,
1769731,Rental unit in Chicago ,4.8, 1 bedroom , 1 bath,41.94747,-87.65417,Entire home/apt,279,1,20,8/20/2023,1,6,177,7,2446867,  Register,
1772920,Rental unit in Chicago ,4.7, 3 bedrooms , 2 baths,41.94842,-87.65307,Entire home/apt,522,1,15,8/6/2023,0,6,178,2,2446868,  Register,
1773021,Rental unit in Chicago ,4.9, 4 bedrooms , 2 baths,41.94774,-87.65421,Entire home/apt,679,1,33,8/27/2023,1,6,87,8,2446868,  Register,
